MEDIUM_MEDIENINHABER,medium,RECHTSTRÄGER,LEERMELDUNG,QUARTAL,bekanntgabe_description,year,BEKANNTGABE,id,EURO
ORF Oberösterreich,ORF,Kammer für Arbeiter und Angestellte für Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,554,21024.39
Kronen Zeitung,Krone,Kammer für Arbeiter und Angestellte für Salzburg,0,20123,Werbeaufträge und Medienkooperationen,2012,2,555,5912.19
Salzburger Nachrichten,Salzburger Nachrichten,Kammer für Arbeiter und Angestellte für Salzburg,0,20123,Werbeaufträge und Medienkooperationen,2012,2,556,7006.06
Personal Fitness GmbH,Personal Fitness GmbH,Kammer für Arbeiter und Angestellte für Salzburg,0,20123,Werbeaufträge und Medienkooperationen,2012,2,557,10000.0
Reisenhofer Thomas Sportsmarketing,Reisenhofer Thomas Sportsmarketing,Kammer für Arbeiter und Angestellte für Salzburg,0,20123,Werbeaufträge und Medienkooperationen,2012,2,558,7500.0
FCG Magazin (Fraktion Christlicher Gewerkschaft),FCG Magazin (Fraktion Christlicher Gewerkschaft),Kammer für Arbeiter und Angestellte für Steiermark,0,20123,Werbeaufträge und Medienkooperationen,2012,2,559,5130.0
Radio Soundportal,Radio Soundportal,Kammer für Arbeiter und Angestellte für Steiermark,0,20123,Werbeaufträge und Medienkooperationen,2012,2,560,5700.0
Kleine Zeitung,Kleine Zeitung,Kammer für Arbeiter und Angestellte für Steiermark,0,20123,Werbeaufträge und Medienkooperationen,2012,2,561,8550.0
Kronen Zeitung,Krone,Kammer für Arbeiter und Angestellte für Tirol,0,20123,Werbeaufträge und Medienkooperationen,2012,2,562,13197.3
Tiroler Tageszeitung,Tiroler Tageszeitung,Kammer für Arbeiter und Angestellte für Tirol,0,20123,Werbeaufträge und Medienkooperationen,2012,2,563,14954.38
Radio Tirol,Radio Tirol,Kammer für Arbeiter und Angestellte für Tirol,0,20123,Werbeaufträge und Medienkooperationen,2012,2,564,8835.04
Basics Tirol,Basics Tirol,Kammer für Arbeiter und Angestellte für Tirol,0,20123,Werbeaufträge und Medienkooperationen,2012,2,565,15333.0
"Bezirksblätter Tirol (ausgenommen Kitzbühel, Kufstein, Schwaz, inkl Stadtblatt)",Bezirksblätter,Kammer für Arbeiter und Angestellte für Tirol,0,20123,Werbeaufträge und Medienkooperationen,2012,2,566,15317.14
Antenne Vorarlberg,Antenne Vorarlberg,Kammer für Arbeiter und Angestellte für Vorarlberg,0,20123,Werbeaufträge und Medienkooperationen,2012,2,567,10300.0
ORF Vorarlberg,ORF,Kammer für Arbeiter und Angestellte für Vorarlberg,0,20123,Werbeaufträge und Medienkooperationen,2012,2,568,18850.0
Vorarlberger Nachrichten,Vorarlberger Nachrichten,Kammer für Arbeiter und Angestellte für Vorarlberg,0,20123,Werbeaufträge und Medienkooperationen,2012,2,569,24813.83
Heute,Heute,Kammer für Arbeiter und Angestellte für Wien,0,20123,Werbeaufträge und Medienkooperationen,2012,2,570,12420.0
Infoscreen,Infoscreen,Kammer für Arbeiter und Angestellte für Wien,0,20123,Werbeaufträge und Medienkooperationen,2012,2,571,47080.8
Radio Wien,Radio Wien,Kammer für Arbeiter und Angestellte für Wien,0,20123,Werbeaufträge und Medienkooperationen,2012,2,572,11850.0
ORF Wien,ORF,Kammer für Arbeiter und Angestellte für Wien,0,20123,Werbeaufträge und Medienkooperationen,2012,2,573,18150.0
Falter,Falter,Kammer für Arbeiter und Angestellte für Wien,0,20123,Werbeaufträge und Medienkooperationen,2012,2,574,15290.0
Österreich,Österreich,Kammer für Arbeiter und Angestellte für Wien,0,20123,Werbeaufträge und Medienkooperationen,2012,2,575,22178.55
Kärntner Monat,Kärntner Monat,Kärnten Therme GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,576,5600.0
Skipresse,Skipresse,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,577,5500.0
Sonntag Aktuell,Sonntag Aktuell,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,578,8400.0
Sport 1 TV,Sport 1 TV,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,579,75500.0
Süddeutsche Zeitung,Süddeutsche Zeitung,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,580,18374.0
Skylines Boardmagazin,Sky Lines,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,581,7875.0
Revista Ufficiale C Sampdoria s.p.a,Revista Ufficiale C Sampdoria s.p.a,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,582,30000.0
Radio Hamburg,Radio Hamburg,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,583,7146.0
News,News,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,584,17671.5
National Geographic,National Geographic,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,585,8600.0
Münchner Merkur,Münchner Merkur,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,586,54183.0
Kronen Zeitung Bunt,Krone,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,587,125360.56
"Kölner Stadtanzeiger, Rundschau, Express","Kölner Stadtanzeiger, Rundschau, Express",Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,588,23531.52
IO Donna,IO Donna,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,589,11500.0
Golfjournal,Golfjournal,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,590,8850.0
Süddeutsche Zeitung Magazin Special,Süddeutsche Zeitung,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,591,16300.0
"google (at, de, it, cz, nl)",Google,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,592,19000.0
Germanwings Boardmagazin,Germanwings Boardmagazin,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,593,5750.0
Fallstaff,Falstaff,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,594,21282.0
Bergauf ÖAV,Bergauf ÖAV,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,595,5775.37
Austria Live Stadionzeitung,Austria Live Stadionzeitung,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,596,7500.0
ALPS Magazin,ALPS Magazin,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,597,12690.0
App Outdooractive,App Outdooractive,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,598,9500.0
Alpe Adria Magazin,Alpe Adria Magazin,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,599,6300.0
WAZ,WAZ,Kärnten Werbung Marketing & Innovationsmanagement GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,600,12882.84
Kärntner Woche,Kärntner Woche,Kärntner Gebietskrankenkasse,0,20123,Werbeaufträge und Medienkooperationen,2012,2,601,5467.51
ORF Kärnten,ORF,Kärntner Wirtschaftsförderungs Fonds ,0,20123,Werbeaufträge und Medienkooperationen,2012,2,602,9000.0
ORF,ORF,KELAG-Kärntner Elektrizitäts- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,603,16248.7
Kärntner Regionalmedien,Kärntner Regionalmedien,KELAG-Kärntner Elektrizitäts- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,604,19504.65
Kärntner Woche,Kärntner Woche,KELAG-Kärntner Elektrizitäts- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,605,5438.24
Der Rundblick - Lesezirkel,Der Rundblick - Lesezirkel,KELAG-Kärntner Elektrizitäts- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,606,7000.0
Kleine Zeitung,Kleine Zeitung,KELAG-Kärntner Elektrizitäts- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,607,14860.26
MediaPrint,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG,KELAG-Kärntner Elektrizitäts- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,608,15949.63
Ankünder City Light Werbung,Ankünder GmbH,KIMUS Kindermuseum Graz GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,609,16800.0
moments - Kärntnerin,Kärntnerin,Klagenfurt Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,610,6000.0
L2 Werbeagentur GmbH,L2 Werbeagentur GmbH,Klagenfurt Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,611,13731.6
Holzkurier,Holzkurier,Klagenfurter Messe Betriebsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,612,7400.0
Holzzentralblatt,Holzzentralblatt,Klagenfurter Messe Betriebsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,613,9994.92
ORF Kärnten,ORF,Klagenfurter Messe Betriebsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,614,32500.0
Kärntner Woche,Kärntner Woche,Klagenfurter Messe Betriebsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,615,8568.0
Kronen Zeitung,Krone,Klagenfurter Messe Betriebsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,616,9794.4
Kleine Zeitung,Kleine Zeitung,Klagenfurter Messe Betriebsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,617,33767.95
ORF Wien,ORF,Kleinregion Sulmtal-Sausal,0,20123,Werbeaufträge und Medienkooperationen,2012,2,618,9315.0
ENERGIE Vision,ENERGIE Vision,Klima- und Energiefonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,619,6500.0
Kommunal,Kommunal,Kommunalkredit Austria AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,620,12313.11
RFG Recht & Finanzen für Gemeinden,RFG Recht & Finanzen für Gemeinden,Kommunalkredit Austria AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,621,5968.34
Public,Public,Kommunalkredit Austria AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,622,5437.0
OÖ Media Data Vertriebs- und Verlagsges.m.b.H.,OÖ Media Data Vertriebs- und Verlagsges.m.b.H.,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,623,21098.0
OÖN Redaktion GmbH & CO KG,OÖNachrichten,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,624,30594.0
Ordinariat der Erzdiözese Salzburg,Ordinariat der Erzdiözese Salzburg,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,625,70227.4
Österreichische Medienakademie - Kuratorium für Journalistenausbildung,Österreichische Medienakademie - Kuratorium für Journalistenausbildung,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,626,429975.0
Osttiroler Bote Medienunternehmen Ges.m.b.H.,Osttiroler Bote,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,627,8700.6
Presseclub Concordia,Presseclub Concordia,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,628,23625.0
Salzburger Nachrichten Verlagsges.m.b.H. & Co KG,Salzburger Nachrichten,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,629,52999.0
Salzburger Volkszeitung GmbH & Co KG,Salzburger Volkszeitung GmbH & Co KG,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,630,25101.0
Salzburger Woche Verlags GesmbH,Salzburger Woche Verlags GesmbH,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,631,103535.8
Schlüsselverlag J.S. Moser GmbH.,Schlüsselverlag Moser GmbH,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,632,13989.0
Slomedia GmbH,Slomedia GmbH,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,633,28664.3
Sportzeitung Verlags-GmbH,Sportzeitung Verlags-GmbH,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,634,22624.3
Standard Verlagsgesellschaft m.b.H.,Der Standard,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,635,78357.0
Steirischer Presseclub,Steirischer Presseclub,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,636,7087.5
Styria Multi Media Men GmbH & Co KG,Styria Multi Media Men GmbH & Co KG,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,637,23807.7
Verein zur Förderung der Nutzung von Zeitungen in der Schule,Verein zur Förderung der Nutzung von Zeitungen in der Schule,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,638,219144.0
Verlag Rudolf M. Rohrer,Verlag Rudolf M. Rohrer,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,639,8635.6
Verlagsgruppe NEWS Gesellschaft m.b.H.,News,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,640,203107.5
W 3 Verlagsges.m.b.H.,W 3 Verlagsges.m.b.H.,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,641,52742.0
Wallig Ennstaler Druckerei und Verlag GmbH,Wallig Ennstaler Druckerei und Verlag GmbH,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,642,8635.6
Wiener Dom-Verlag Ges.m.b.H.,Wiener Dom-Verlag Ges.m.b.H.,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,643,76574.5
WirtschaftsBlatt Medien GmbH,Wirtschaftsblatt,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,644,42587.0
"Bischöfliches Ordinariat, Diözese Graz-Seckau","Bischöfliches Ordinariat, Diözese Graz-Seckau","Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,645,83535.8
Bischöfliches Seelsorgeamt Diözese Gurk,Bischöfliches Seelsorgeamt Diözese Gurk,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,646,63631.9
BVZ Burgenländische Volkszeitung GmbH,BVZ Burgenländische Volkszeitung,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,647,48868.1
A.B.C. Werbeagentur Ges.m.b.H.,A.B.C. Werbeagentur Ges.m.b.H.,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,648,47091.3
Agrar Media Verlagsgesellschaft mbH.,Agrar Media Verlagsgesellschaft mbH.,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,649,83535.8
Die Furche Zeitschriftenbetriebsgesmbh & Co KG,Die Furche,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,650,93856.0
Die ganze Woche Ges.m.b.H.,Ganze Woche,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,651,83535.8
Die Presse Verlags-Gesellschaft m.b.H. & Co KG,Die Presse,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,652,80000.0
Diözese Eisenstadt,Diözese Eisenstadt,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,653,83617.7
Diözese Feldkirch,Diözese Feldkirch,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,654,66214.4
Diözese Innsbruck,Diözese Innsbruck,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,655,79538.0
"Eugen Ruß, Vbg. Zeitungsverlag u. Druckerei GmbH","Eugen Ruß, Vbg. Zeitungsverlag u. Druckerei GmbH","Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,656,11627.0
Falter Zeitschriftengesellschaft m.b.H.,Falter,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,657,96207.0
Freiheitliche Partei Österreichs (FPÖ),Freiheitliche Partei Österreichs (FPÖ),"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,658,46067.6
Friedrich Austerlitz-Institut für JournalistInnenausbildung,Friedrich Austerlitz-Institut für JournalistInnenausbildung,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,659,9715.0
"Friedrich Funder Institut für Publizistik, Medienforschung und Journalistenausbildung","Friedrich Funder Institut für Publizistik, Medienforschung und Journalistenausbildung","Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,660,29303.0
GESPU - Gesellschaft für Publizistik und Medienforschung,GESPU - Gesellschaft für Publizistik und Medienforschung,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,661,12614.0
Kärntner Tageszeitungsges.m.b.H,Kärntner Tageszeitung - KTZ,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,662,11854.0
Katholische Medien Akademie,Katholische Medien Akademie,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,663,61425.0
Kirchenblatt für die Diözese St. Pölten,Kirchenblatt für die Diözese St. Pölten,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,664,68139.0
Kirchenzeitung Diözese Linz,Kirchenzeitung Diözese Linz,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,665,84145.8
Kitzbüheler Anzeiger Ges.m.b.H.,Kitzbüheler Anzeiger Ges.m.b.H.,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,666,8635.6
Kleine Zeitung GmbH & Co KG,Kleine Zeitung,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,667,70295.0
Kroatischer Presseverein,Kroatischer Presseverein,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,668,10625.7
Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,669,100036.0
Murtaler Zeitung GmbH,Murtaler Zeitung GmbH,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,670,6940.5
Neues Land Medien GesmbH,Neues Land Mediengesellschaft mbH,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,671,83535.8
Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H.,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H.,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,672,107235.8
Oberösterreichischer Presseclub,Oberösterreichischer Presseclub,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,673,8505.0
OÖ Journalistenakademie,OÖ Journalistenakademie,"Kommunikationsbehörde Austria (""KommAustria"")",0,20123,Förderungen,2012,4,674,61425.0
C-more Werbeagentur,C-more Werbeagentur,KSB - Kultur-Service Burgenland GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,675,6468.6
ORF,ORF,KSB - Kultur-Service Burgenland GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,676,15063.68
Mediaprint,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG,KSB - Kultur-Service Burgenland GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,677,20743.17
Tiroler Tageszeitung,Tiroler Tageszeitung,Kunsthistorisches Museum mit Museum für Völkerkunde und österreichischem Theatermuseum,0,20123,Werbeaufträge und Medienkooperationen,2012,2,678,11500.0
Kurier,Kurier,KUNSTMEILE KREMS Betriebsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,679,7560.0
Der Standard,Der Standard,KUNSTMEILE KREMS Betriebsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,680,9333.0
Infoscreen,Infoscreen,KUNSTMEILE KREMS Betriebsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,681,13398.0
Die Presse,Die Presse,KUNSTMEILE KREMS Betriebsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,682,22184.33
Radio Stephansdom,Radio Stephansdom,Kurbad Tatzmannsdorf Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,683,5224.5
Wiener Bezirksblatt GmbH,Bezirksblätter,Kurbad Tatzmannsdorf Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,684,10000.0
Kurier,Kurier,Kurbad Tatzmannsdorf Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,685,5936.35
BVZ,BVZ Burgenländische Volkszeitung,Land Burgenland,0,20123,Werbeaufträge und Medienkooperationen,2012,2,686,5927.04
ORF Burgenland,ORF,Land Burgenland,0,20123,Werbeaufträge und Medienkooperationen,2012,2,687,18164.73
Kronen Zeitung,Krone,Land Burgenland,0,20123,Werbeaufträge und Medienkooperationen,2012,2,688,12461.2
Heute,Heute,Land Burgenland,0,20123,Werbeaufträge und Medienkooperationen,2012,2,689,7731.02
Österreich,Österreich,Land Burgenland,0,20123,Werbeaufträge und Medienkooperationen,2012,2,690,7417.26
Bezirksblätter Burgenland (alle Bezirke),Bezirksblätter,Land Burgenland,0,20123,Werbeaufträge und Medienkooperationen,2012,2,691,13009.53
Villach :stadtzeitung,Villach :stadtzeitung,Land Kärnten,0,20123,Werbeaufträge und Medienkooperationen,2012,2,692,6048.0
Österreichischer Rundfunk - ORF,ORF,Land Kärnten,0,20123,Werbeaufträge und Medienkooperationen,2012,2,693,40259.4
ORF Kärnten,ORF,Land Kärnten,0,20123,Werbeaufträge und Medienkooperationen,2012,2,694,28600.0
Kärntner Tageszeitung - KTZ,Kärntner Tageszeitung - KTZ,Land Kärnten,0,20123,Werbeaufträge und Medienkooperationen,2012,2,695,15976.63
Kärntner Woche,Kärntner Woche,Land Kärnten,0,20123,Werbeaufträge und Medienkooperationen,2012,2,696,55382.28
Antenne Kärnten,Antenne Kärnten,Land Kärnten,0,20123,Werbeaufträge und Medienkooperationen,2012,2,697,9166.0
Kärntner Monat,Kärntner Monat,Land Kärnten,0,20123,Werbeaufträge und Medienkooperationen,2012,2,698,15230.0
Kronen Zeitung,Krone,Land Kärnten,0,20123,Werbeaufträge und Medienkooperationen,2012,2,699,57846.94
Kleine Zeitung,Kleine Zeitung,Land Kärnten,0,20123,Werbeaufträge und Medienkooperationen,2012,2,700,47637.44
kosmo Twist Zeitschriftenverlag GmbH,kosmo Twist Zeitschriftenverlag GmbH,Land Niederösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,701,8820.0
Kronen Zeitung,Krone,Land Niederösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,702,95408.32
ORF Niederösterreich,ORF,Land Niederösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,703,23480.0
Heute,Heute,Land Niederösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,704,37940.51
Österreich,Österreich,Land Niederösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,705,99330.57
ORF Enterprise GmbH & Co. KG,ORF,Land Niederösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,706,29767.2
NÖN,Niederösterreichische Nachrichten,Land Niederösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,707,165715.18
Mediaprint,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG,Land Niederösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,708,7429.97
Der Standard,Der Standard,Land Niederösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,709,18373.66
Bezirksblätter Niederösterreich,Bezirksblätter,Land Niederösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,710,28205.62
Kurier,Kurier,Land Niederösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,711,33337.33
NEWS,News,Land Niederösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,712,6375.0
Bezirksrundschau,RMA Bezirksrundschau,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,713,65916.65
City Magazin,City Magazin,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,714,13003.0
HT 1 Grieskirchen/Eferding,HT 1 Grieskirchen/Eferding,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,715,9907.0
Innsat TV,Innsat TV,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,716,13050.0
LT 1,LT 1,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,717,12421.0
ORF,ORF,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,718,71501.74
Kronehit Radio,Krone,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,719,21355.95
Life Radio,Life Radio,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,720,36427.0
Radio Arabella,Arabella,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,721,7270.4
Die Oberösterreicherin,Die Oberösterreicherin,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,722,6090.0
Hallo Oberösterreich,Hallo Oberösterreich,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,723,14866.68
Kronen Zeitung,Krone,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,724,48129.0
OÖ. Nachrichten,OÖNachrichten,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,725,76992.76
Österr. Bauernzeitung,Österr. Bauernzeitung,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,726,20844.09
Österreich,Österreich,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,727,19691.0
Tips,Tips,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,728,57220.84
Weekend Magazin,Weekend Magazin,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,729,12398.0
Zeitschrift Informativ,Zeitschrift Informativ,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,730,6700.0
Unsere Generation Wir >50,Unsere Generation,Land Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,731,10500.0
