MEDIUM_MEDIENINHABER,medium,RECHTSTRÄGER,LEERMELDUNG,QUARTAL,bekanntgabe_description,year,BEKANNTGABE,id,EURO
NEWS,News,AIT Austrian Institute of Technology GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,43,10500.0
Kurier,Kurier,Albertina,0,20123,Werbeaufträge und Medienkooperationen,2012,2,44,11550.0
Die Presse,Die Presse,Albertina,0,20123,Werbeaufträge und Medienkooperationen,2012,2,45,11184.09
Standard,Der Standard,Albertina,0,20123,Werbeaufträge und Medienkooperationen,2012,2,46,5250.0
Rondo,Rondo,Albertina,0,20123,Werbeaufträge und Medienkooperationen,2012,2,47,5250.0
Lebensart,Lebensart,Allgemeine Unfallversicherungsanstalt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,48,6600.0
Die Presse,Die Presse,Allgemeine Unfallversicherungsanstalt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,49,9987.5
NÖN,Niederösterreichische Nachrichten,Allgemeine Unfallversicherungsanstalt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,50,12677.5
ExtraDienst,ExtraDienst,Allgemeine Unfallversicherungsanstalt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,51,6000.0
Kurier,Kurier,Allgemeine Unfallversicherungsanstalt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,52,6800.0
Kleine Zeitung,Kleine Zeitung,Alpen-Adria-Universität Klagenfurt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,53,6750.0
Bregenzer Blättle,Bregenzer Blättle,Amt der Landeshauptstadt Bregenz,0,20123,Werbeaufträge und Medienkooperationen,2012,2,54,14635.48
Feldkircher Anzeiger,Feldkircher Anzeiger,Amt der Stadt Feldkirch,0,20123,Werbeaufträge und Medienkooperationen,2012,2,55,13858.54
medianet,Medianet,Ankünder GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,56,8750.0
"Bezirksblätter Tirol (ausgenommen Kitzbühel, Kufstein, Schwaz, inkl Stadtblatt)",Bezirksblätter,Arbeitsmarktservice,0,20123,Werbeaufträge und Medienkooperationen,2012,2,57,5793.31
Heute,Heute,Arbeitsmarktservice,0,20123,Werbeaufträge und Medienkooperationen,2012,2,58,8031.2
Kosmo,Kosmo,Arbeitsmarktservice,0,20123,Werbeaufträge und Medienkooperationen,2012,2,59,14850.0
Kronen Zeitung,Krone,Arbeitsmarktservice,0,20123,Werbeaufträge und Medienkooperationen,2012,2,60,6689.85
M* magazine,M* magazine,Arbeitsmarktservice,0,20123,Werbeaufträge und Medienkooperationen,2012,2,61,5238.12
OÖNachrichten,OÖNachrichten,Arbeitsmarktservice,0,20123,Werbeaufträge und Medienkooperationen,2012,2,62,9474.77
ORF 2,ORF,Arbeitsmarktservice,0,20123,Werbeaufträge und Medienkooperationen,2012,2,63,7500.0
Tips,Tips,Arbeitsmarktservice,0,20123,Werbeaufträge und Medienkooperationen,2012,2,64,8691.61
Tiroler Tageszeitung,Tiroler Tageszeitung,Arbeitsmarktservice,0,20123,Werbeaufträge und Medienkooperationen,2012,2,65,5474.06
Wienerin,Wienerin,Arbeitsmarktservice,0,20123,Werbeaufträge und Medienkooperationen,2012,2,66,6460.0
Woman,Woman,Arbeitsmarktservice,0,20123,Werbeaufträge und Medienkooperationen,2012,2,67,12266.5
OÖNachrichten,OÖNachrichten,Ars Electronica Linz GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,68,9206.42
Der Standard,Der Standard,Ars Electronica Linz GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,69,8000.0
OÖ Nachrichten,OÖNachrichten,Ärztekammer für Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,70,6789.0
RMA Bezirksrundschau,RMA Bezirksrundschau,Ärztekammer für Oberösterreich,0,20123,Werbeaufträge und Medienkooperationen,2012,2,71,8447.82
OÖ Nachrichten,OÖNachrichten,Ärztekammer für Oberösterreich,0,20123,Förderungen,2012,4,72,12179.0
Kompetenz,Kompetenz,Ärztekammer für Wien,0,20123,Werbeaufträge und Medienkooperationen,2012,2,73,8159.76
Standard,Der Standard,Ärztekammer für Wien,0,20123,Werbeaufträge und Medienkooperationen,2012,2,74,12600.0
Die Wirtschaft,Die Wirtschaft,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,75,8241.8
www.diepresse.com,Die Presse,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,76,5100.0
Kronen Zeitung,Krone,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,77,62199.09
Heute,Heute,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,78,46666.63
Kurier,Kurier,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,79,26781.38
Österreich,Österreich,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,80,42086.05
Kleine Zeitung,Kleine Zeitung,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,81,29521.89
Wiener Bezirksblatt,Bezirksblätter,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,82,6018.43
www.nachrichten.at (OÖNachrichten),OÖNachrichten,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,83,13725.05
www.tt.com,www.tt.com,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,84,11310.0
www.salzburg.com (Salzburger Nachrichten),Salzburger Nachrichten,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,85,8149.37
www.oe24.at,Österreich,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,86,23709.69
www.kleinezeitung.at,Kleine Zeitung,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,87,13017.45
www.krone.at,Krone,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,88,17486.95
www.kurier.at,Kurier,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,89,11325.0
Bezirksrundschau Oberösterreich (inkl Stadtrundschau),Bezirksrundschau OÖ,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,90,5404.63
TIPS - OberÖsterreich,Tips,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,91,6397.07
OÖNachrichten,OÖNachrichten,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,92,18522.76
Tiroler Tageszeitung,Tiroler Tageszeitung,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,93,25425.3
Salzburger Nachrichten,Salzburger Nachrichten,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,94,26963.84
Woche Steiermark,Woche Steiermark,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,95,14052.09
